Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
procollagen-lysine 5-dioxygenase 1	PLOD1	PLOD1	11839646	11880427	procollagen-lysine 5-dioxygenase
isoflavone-4'-O-methyltransferase					isoflavone-4'-O-methyltransferase
GDP-6-deoxy-4-keto-D-arabino-heptose 4-reductase	ddahC	ddahC			GDP-6-deoxy-4-keto-D-<i>arabino</i>-heptose 4-reductase
cis-chlorobenzene dihydrodiol dehydrogenase	cbsB	cbsB			<i>cis</i>-chlorobenzene dihydrodiol dehydrogenase
arylsulfatase B	ARSB	ARSB	78312235	78518426	<i>N</i>-acetylgalactosamine-4-sulfatase
callose synthase	GSL	GSL			1,3-beta-glucan synthase
RhlB rhamnosyltransferase	rhlB	rhlB			RhlB rhamnosyltransferase
7,8-diaminopelargonic acid aminotransferase	BIO3-BIO1	At5g57590			7,8-diaminopelargonic acid aminotransferase (spermidine) // dethiobiotin synthetase
chlorophyll synthetase	CHLG	CHLG			chlorophyll synthetase
adenosylcobinamide-GDP ribazoletransferase	cobS	Despr_0587			adenosylcobinamide-GDP 5-methylbenzimidazole ribotide phosphate transferase
isoprenyl alcohol synthase	Tps-MBO1	Tps-MBO1			isoprenyl alcohol synthase
bifunctional UDP-3-<i>O</i>-acyl-<i>N</i>-acetylglucosamine deacetylase/3-hydroxyacyl-[acyl-carrier-protein] dehydratase	lpxC/fabZ	HMPREF1322_RS03560	32757	34145	UDP-3-<i>O</i>-acyl-<i>N</i>-acetylglucosamine deacetylase // 3-hydroxyacyl-[acp] dehydratase // UDP-3-<i>O</i>-acyl-<i>N</i>-acetylglucosamine deacetylase
archaeosine synthase	arcS	MJ1022			archaeosine synthase
vinyl chloride reductase catalytic subunit // vinyl chloride reductase membrane anchor subunit	vcrB // vcrA				vinyl chloride reductase
Cys3	CYS3	CYS3			cystathionine &gamma;-lyase
taurine:pyruvate aminotransferase	tpa	tpa			taurine:pyruvate aminotransferase
acetohydroxy acid synthase I subunit IlvB // acetohydroxy acid synthase I subunit IlvN	ilvN // ilvB		3850802	3851092	acetohydroxybutanoate synthase // acetolactate synthase
aliphatic sulfonate oxidoreductase	PF1479 // PF1480				aliphatic sulfonate oxidoreductase // aliphatic sulfonate oxidoreductase
5-chlorohydroxyquinol dechlorinase	tftG	tftG			5-chlorohydroxyquinol dechlorinase
psilocybin synthase	psiM	psiM			psilocybin synthase
[heparan sulfate]-uronosyl-2-<i>O</i>-sulfotransferase 1	HS2ST1	HS2ST1	86549249	86803798	[heparan sulfate]-&beta;-D-glucuronate-2-<i>O</i>-sulfotransferase // [heparan sulfate]-&alpha;-L-iduronate-2-<i>O</i>-sulfotransferase
rubredoxin 1 // alkane hydroxylase	alkB // rubB				alkane hydroxylase
toluene 4-monooxygenase	tbuB // tbuV // tbuC // tbuU // tbuA2 // tbuA1				4-methylphenol 2-monooxygenase // toluene 4-monooxygenase
acyl-lipid 4-desaturase	D4Des	D4Des			adrenoyl-lipid 4-desaturase // docosapentaenoyl-lipid 4-desaturase
phosphatidylinositol-4,5-bisphosphate 5-phosphatase, A	INPP5J	INPP5J			inositol-1,4,5-trisphosphate 5-phosphatase // inositol-1,3,4,5tetrakisphosphate 5-phosphatase // phosphatidylinositol-4,5-bisphosphate 5-phosphatase
sterol C-14 demethylase	CYP51	100736446			4&alpha;,14&alpha;-dimethyl-cholesta-8-enol 14&alpha;-demethylase // obtusifoliol 14&alpha;-demethylase // obtusifoliol 14&alpha;-demethylase // obtusifoliol 14&alpha;-demethylase
ureidoglycolate amidohydrolase	UAH	At5g43600			ureidoglycolate amidohydrolase
7-methylxanthosine synthase	CaXMT1	CaXMT1			xanthosine:S-adenosylmethionine 7-N-methyltransferase
styrylpyrone reductase 1	KLR1	KLR1			styrylpyrone 5,6-reductase
4-hydroxy-2-oxoglutarate aldolase	HOGA1	HOGA1	99344080	99372559	4-hydroxy-2-oxoglutarate aldolase
protopanaxadiol-type ginsenoside-3-<i>O</i>-glucoside 2&prime;&prime;-<em>O</em>-glucosyltransferase	UGT94Q2	UGT94Q2			ginsenoside F2 2&prime;&prime;-<em>O</em>-glucosyltransferase // (20<i>S</i>)-ginsenoside Rh2 2&prime;&prime;-<em>O</em>-glucosyltransferase
3-isopropylmalate dehydrogenase subunit	MJ0720	MJ0720			3-methylmalate dehydrogenase // 3-isopropylmalate dehydrogenase
8-oxo-(d)GTP phosphatase	mutT1	Rv2985	3342165	3343118	8-oxo-GTP phosphatase // 8-oxo-dGTP phosphatase
epoxyqueuosine reductase	cueH	CD630_05630	670855	671769	epoxyqueuosine reductase
gamma-glutamyl-gamma-aminobutyrate hydrolase	puuD	b1298	1361120	1361884	&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase
probable diguanylate cyclase DgcT	dgcT	b1025	1092876	1094234	diguanylate cyclase
callose synthase	GSL1	GSL1			callose synthase
daphnetin 8-O-beta-glucosyltransferase					daphnetin 8-<i>O</i>-&beta;-glucosyltransferase
L-lactate dehydrogenase	lutA // lutB // lutC		3494985	3495701	L-lactate dehydrogenase
UDP-quinovose:digitoxigenin 3-<i>O</i>-quinovosyltransferase					UDP-quinovose:digitoxigenin 3-<i>O</i>-quinovosyltransferase
endo-&alpha;-sialidase	GP90	GP90			endo-&alpha;-sialidase
tomatine galactoside glucosyltransferase	GAME17	Solyc07g043480			tomatine galactoside glucosyltransferase
phosphoribosylformylglycinamidine synthase	PFAS	PFAS	8152596	8173809	phosphoribosylformylglycinamidine synthase
diguanylate cyclase DgcJ	dgcJ	b1786	1872041	1873531	diguanylate cyclase
2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase	Patl_2551	Patl_2551			2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase
&omega;-amidase NIT2	Nit2	Nit2			2-oxoglutaramate &omega;-amidase
ATP-dependent DNA helicase DinG	dinG	b0799	833070	835220	ATP-dependent 5' &rarr; 3' helicase
2-azanidyl-3-sulfanylprop-2-enamido]-3-[NRPS] synthase	hlmL	SCLAV_5277			2-azanidyl-3-sulfanylprop-2-enamido]-3-[NRPS] synthase
dTDP-L-rhamnose:beta-L-Rha-(1->4)-alpha-D-GlcNAc-PP-Und alpha(1,3)-rhamnosyltransferase [multifunctional]	wegQ	wegQ			dTDP-L-rhamnose:&beta;-L-Rha-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und &alpha;(1,3)-rhamnosyltransferase // dTDP-L-rhamnose:&alpha;-L-Rha-(1&rarr;3)-&beta;-L-Rha-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und &alpha;(1,2)-rhamnosyltransferase
1-aminocyclopropane-1-carboxylate synthase	ACS2	ACS2			1-aminocyclopropane-1-carboxylate synthase
glucose-6-phosphate isomerase	GPI	GPI	35305010	35342002	glucose-6-phosphate isomerase // Glucose-6-phosphate isomerase
UDP-glucose 4-epimerase	ugeA	ugeA			UDP-glucose 4-epimerase
L-carnitine dehydrogenase/betainyl-CoA thioesterase/carnityl-CoA thioesterase	cdhAB	SM2011_RS25835	2430105	2431595	(<i>R</i>)-carnityl-CoA thioesterase // L-carnitine dehydrogenase // betainyl-CoA thioesterase
NADH-dependent 3&alpha;-hydroxysteroid reductase	baiO	CLOSCI_00522			3-dehydrodeoxycholate reductase // 3-dehydrolithocholate reductase
zeaxanthin epoxidase	ZE	ZE			zeaxanthin epoxidase
poly(ribitol phosphate) teichoic acid &beta;-<i>O</i>-GlcNAc transferase	tarS	tarS			poly(ribitol phosphate) teichoic acid &beta;-<i>O</i>-GlcNAc transferase
periplasmic trehalase	treA	b1197	1245679	1247376	trehalase
medium-chain-fatty-acid&mdash;CoA ligase	fadK	b1701	1782977	1784677	medium-chain-fatty-acid&mdash;CoA ligase // medium-chain acyl-CoA synthetase (transporting) // cis-vaccenoyl-CoA synthetase (transporting) // oleoyl-CoA synthetase (transporting) // palmitoleoyl-CoA synthetase (transporting)
xanthan ketal pyruvate transferase	gumL	gumL			&beta;-D-mannose-(1,4)-&beta;-D-glucoronate-(1,2)-&alpha;-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol enolpyruvate transferase // &beta;-D-mannose-(1,4)-&beta;-D-glucoronate-(1,2)-&alpha;-6-<i>O</i>-acetyl-D-mannosyl-(1,3)-&beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol enolpyruvate transferase
prephenate dehydrogenase	novF	novF			prephenate dehydrogenase
5-hexenoyl-[acp] acetylenase	jamB	jamB			5-hexenoyl-[acp] acetylenase
lipid-A-disaccharide synthase	lpxB	BAB_RS21530	1143351	1144538	lipid-A-disaccharide synthase
shimimate dehydratase/3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate--CoA ligase	mycA4	mycA4			shimimate dehydratase // 3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate--CoA ligase
polyketide type III synthase	PKS2	PKS2			benzalacetone synthase // p-coumaryltriacetic lactone synthase
3,6-dihydroxypyridine-2,5-dione hydrolase	dhpJ	dhpJ			3,6-dihydroxypyridine-2,5-dione hydrolase
arylamine <i>N</i>-acetyltransferase	nat	Rv3566c	4007331	4008182	arylamine <i>N</i>-acetyltransferase // arylamine <i>N</i>-acetyltransferase // arylamine <i>N</i>-acetyltransferase // arylamine <i>N</i>-acetyltransferase // arylamine <i>N</i>-acetyltransferase // arylamine <i>N</i>-acetyltransferase // arylamine <i>N</i>-acetyltransferase
4'-phospho-dehydrooxetanocin synthase	oxsB	oxsB			4'-phospho-dehydrooxetanocin synthase // dAMP 2'-methyltransferase
cystathionine &beta;-lyase	STR3	STR3			<i>S</i>-(1-hydroxyhexan-3-yl)-L-cysteine &beta;-lyase // <i>S</i>-(4-oxo-2-methylpentan-2-yl)-L-cysteine &beta;-lyase // cysteine-<i>S</i>-conjugate &beta;-lyase // cystathionine &beta;-lyase
L-tryptophan--[tryptophyl-carrier-protein] ligase Ecm13	ecm13	ecm13			L-tryptophan--[tryptophanyl-carrier protein] ligase
<i>N</i>-acetyldemethylphosphinothricinyl-transferase	phpL	phpL			<i>N</i>-acetyldemethylphosphinothricinyl-transferase
poly(ethylene terephthalate) hydrolase	ISF6_4831	ISF6_4831			poly(ethylene terephthalate) hydrolase
&beta;-alanopine dehydrogenase	beta-AlDH	beta-AlDH			&beta;-alanopine synthase
anthocyanidin 5-<i>O</i>-glucosyltransferase	5GT7	5GT7			delphinidin 5-<i>O</i>-glucosyltrtansferase
glyoxalase II (cytoplasmic)	GLO2	GLO2			glyoxalase II (cytoplasmic)
solanidine glucosyltransferase	Sgt2	Sgt2			solanidine glucosyltransferase
anthocyanidin synthase/flavonol synthase	ANS/FLS	ANS/FLS			cyanidin synthase // quercetin synthase
<i>N</i>-acetyl-D-glucosaminyl-<i>N</i>-acetyl-tunicaminyl-uracil <i>N</i>-deacetylase	tunE	tunE			<i>N</i>-acetyl-D-glucosaminyl-<i>N</i>-acetyl-tunicaminyl-uracil <i>N</i>-deacetylase
protein tyrosine lyase (tyramine-producing)	plpX // plpY				protein tyrosine lyase (tyramine-producing)
abscisic acid 9'-hydroxylase / abscisic acid 8'-hydroxylase	CYP707A2	CYP707A2			abscisic acid 9'-hydroxylase // abscisic acid 8'-hydroxylase
mannosylglycerate synthase subunit	mgs	mgs			mannosylglycerate synthase
(5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-3,5,6,7-tetrahydro-2<i>H</i>-indene-4-carboxyl-CoA hydrolase	echA20	Rv3550	3989153	3989896	(5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-3,5,6,7-tetrahydro-2<i>H</i>-indene-4-carboxyl-CoA hydrolase
tRNA dimethylallyltransferase	IPT2	IPT2			tRNA dimethylallyltransferase
3-oxo-&Delta;<sup>1</sup>-steroid hydratase/dehydrogenase	atcA // atcB // atcC				3-oxo-&Delta;<sup>1</sup>-steroid hydratase/dehydrogenase // androst-1-ene-3,17-dione hydratase/dehydrogenase // &Delta;<sup>1</sup>-dihydrotestosterone hydratase/dehydrogenase
thiosulfate-forming enzyme					thiosulfate-forming enzyme
veratryl alcohol oxidase	vao	vao			veratryl alcohol oxidase
O-[5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate reductase [multifunctional]	npdC	npdC			O-[5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate reductase // O-[3-nitro-5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate reductase
glutaredoxin-dependent peroxiredoxin	PRXIIB	AT1G65980			glutaredoxin-dependent peroxiredoxin
levansucrase	sacB	BSU34450	3536012	3537433	levansucrase // levansucrase // levansucrase // levansucrase
FMN-dependent NADH-azoreductase	azoA	EF_2601	2519570	2520196	FMN-dependent NADH-azoreductase
peroxisomal fatty acid &beta;-oxidation multifunctional protein MFP2	MFP2	AT3G06860	2161875	2166355	3-hydroxyacyl-CoA dehydrogenase // enoyl-CoA hydratase
fusicocca-1,10(14)-diene-3,8&beta;,16-triol <i>O</i>-methyltransferase	bsc6	bsc6			fusicocca-1,10(14)-diene-3,8&beta;,16-triol <i>O</i>-methyltransferase
crotonobetainyl-CoA hydratase	caiD	b0036	35377	36162	crotonobetainyl-CoA hydratase
CVOMT1 subunit	CVOMT1	CVOMT1			S-adenosyl-L-methionine:chavicol-O-methyltransferase
sensor histidine kinase CpxA	cpxA	b3911	4103602	4104975	protein-histidine <i>tele</i>-kinase
chorismate mutase	CM3	CM3			chorismate mutase
mevalonate-3-phosphate-5-kinase	Ta0762	Ta0762			mevalonate-3-phosphate-5-kinase
17&alpha;-hydroxysteroid dehydrogenase	desF	GGADHKLB_00774			17&alpha;-hydroxysteroid dehydrogenase // 17&alpha;-hydroxysteroid dehydrogenase
uronate dehydrogenase	udh	udh			D-glucuronate dehydrogenase // D-galacturonate dehydrogenase
littorine synthase	LS	LS			littorine synthase
L-tryptophyl-[tryptophyl-carrier protein] &beta;-monooxygenase	ecm12	ecm12			L-tryptophyl-[tryptophyl-carrier protein] &beta;-monooxygenase
fructose-1,6-bisphosphatase 2	FBP2	FBP2	89048859	89083932	fructose-1,6-bisphosphatase
plasma retinol-binding protein	RBP4	RBP4	94585256	94594658	plasma retinol-binding protein
3-oxoacyl CoA thiolase	POT1	POT1	40191	41444	3-ketoacyl-CoA thiolase // 3-ketoacyl-CoA thiolase // 3-ketoacyl-CoA thiolase // 3-ketoacyl-CoA thiolase // 3-ketoacyl-CoA thiolase // 3-oxoacyl CoA thiolase // 3-oxoacyl CoA thiolase // 3-oxoacyl CoA thiolase // 3-oxoacyl CoA thiolase // 3-oxoacyl CoA thiolase // 3-oxoacyl CoA thiolase // 3-oxoacyl CoA thiolase // 3-oxoacyl CoA thiolase
trypanothione synthetase	TryS	TryS			glutathionylspermidine amidase // glutathionylspermidine synthetase // trypanothione synthetase
altemicidin intermediate 1 C-2-hydroxylase	sbzQ	sbzQ			altemicidin intermediate 1 <i>C</i>-2-hydroxylase
decaheme cytochrome <i>c</i> protein MtrC	mtrC	mtrC			terminal iron(III) reductase // manganese dioxide reductase
cardiolipin synthase	AT4G04870	AT4G04870			cardiolipin synthase
sucrose synthase	SUS6	SUS6	27588140	27591987	sucrose synthase
xylose isomerase	xylA	b3565	3729443	3730765	xylose isomerase
plant 4,4-dimethylsterol C-4&alpha;-methyl-monooxygenase 1-2	SMO1-2	AT4G22756	11954854	11956824	24-methylenecycloartanol 4&alpha;-methyl monooxygenase
mitochondrial aldehyde dehydrogenase	ALDH2	ALDH2			3,4-dihydroxyphenylglycolaldehyde dehydrogenase // phenylacetaldehyde dehydrogenase // 5-hydroxyindole acetaldehyde dehydrogenase // 4-acetamidobutanal dehydrogenase // aldehyde dehydrogenase // acetaldehyde dehydrogenase
1-phosphatidylinositol phosphodiesterase	plcA	plcA			D-myo-inositol 1:2-cyclic phosphate 2-phosphohydrolase // phosphatidylinositol diacylglycerol-lyase
2-oxoethyl-CoM reductase/carboxylase	Noca_4827	Noca_4827			2-oxoethyl-CoM reductase (carboxylating)
1'-hydroxy-gamma-carotene C-4' ketolase	cruO	cruO			1'-hydroxy-&gamma;-carotene C-4' ketolase
3-oxoacyl-[acyl-carrier-protein] reductase	fabG	fabG			(11Z)-3-oxo-icos-11-enoyl-[acp] reductase // (9Z)-3-oxo-octadec-9-enoyl-[acp] reductase // (7Z)-3-oxo-hexadec-7-enoyl-[acp] reductase // (5Z)-3-oxo-tetradec-5-enoyl-[acyl-carrier-protein] reductase
coenzyme F<small><sub>420</sub></small>:<small>L</small>-glutamate ligase	cofE	cofE			F420-1:&gamma;-glutamyl ligase // coenzyme F<small><sub>420</sub></small>-0:<small>L</small>-glutamate ligase
6-dehydrogingerdione reductase	AOR	AOR			6-dehydrogingerdione reductase
vitexin 2''-O-rhamnoside 7-O-methyltransferase					vitexin 2''-O-rhamnoside 7-O-methyltransferase
2-dehydro-3-deoxygalactonokinase	lgnF	lgnF			2-dehydro-3-deoxygalactonokinase
dITP/XTP pyrophosphatase	rdgB	b2954	3096681	3097274	inosine triphosphate pyrophosphatase // deoxyinosine triphosphate pyrophosphatase // xanthosine triphosphate pyrophosphatase
<i>N</i>-glutamylanilide hydrolase	atdA2	atdA2			<i>N</i>-glutamylanilide hydrolase // <i>N</i>-glutamylanilide diol hydrolase
diacylglycerol kinase	dgkA	b4042	4256637	4257005	diacylglycerol kinase
methionine &gamma;-lyase	mdeA	mdeA			methionine &gamma;-lyase
phosphoinositide phospholipase C 1	AtPLC1	AtPLC1			phospholipase C
RING-type E3 ubiquitin transferase DOA10	SSM4	YIL030C	296050	300009	RING-type E3 ubiquitin transferase
linoleate 10<i>R</i>-lipoxygenase	ppoC	AFUA_3G12120			linoleate 8R-lipoxygenase // linoleate 10<i>R</i>-lipoxygenase
long-chain-fatty-acid&mdash;CoA ligase	fadD	b1805	1888061	1889746	fatty acyl-CoA synthetase // fatty acyl-CoA synthetase (transporting) // cis-vaccenoyl-CoA synthetase // oleoyl-CoA synthetase // palmitoleoyl-CoA synthetase
D-xylose reductase XyrA	xyrA	xyrA	897456	898537	L-arabinose reductase // D-xylose reductase
4-chloro-3-hydroxybutyryl-CoA dehydratase	salS	salS			4-chloro-3-hydroxybutyryl-CoA dehydratase
neurosporene dehydratase	crtC	crtC			neurosporene dehydratase
L-aspartate semialdehyde sulfurtransferase	MA_1821	MA_1821			L-aspartate semialdehyde sulfurtransferase
(S)-<i>N</i>-methylcanadine 1-hydroxylase	CYP82Y1	CYP82Y1			(S)-<i>N</i>-methylcanadine 1-hydroxylase
protein-S-isoprenylcysteine O-methyltransferase	STE14B	STE14B			protein-<i>S</i>-isoprenylcysteine <i>O</i>-methyltransferase
xanthine dehydrogenase					6,8-dihydroxypurine hydroxylase // hypoxanthine hydroxylase // 8-hydroxypurine hydroxylase // purine hydroxylase // xanthine:NAD+ oxidoreductase
hexuronate isomerase	uxaC	TM_0064			D-galacturonate isomerase // D-glucuronate isomerase
delta3, delta2-enoyl-CoA isomerase	ECI2	At4G14430	8304596	8305701	delta3, delta2-enoyl-CoA isomerase
tetrachloroethene reductive dehalogenase subunit	pceC	pceC			trichloroethene reductive dehalogenase // tetrachloroethene reductive dehalogenase
propionate--CoA ligase	prpE	SPO2934			acrylate--CoA ligase
4-fluorothreonine transaldolase	4-FTase	4-FTase			4-fluorothreonine transaldolase
malic enzyme (NAD)					malic enzyme (NAD)
type-2 3-hydroxyacyl-CoA dehydrogenase	HSD17B10	HSD17B10	51162492	51165605	3-hydroxyacyl-CoA dehydrogenase // 3-hydroxy-2-methylbutyryl-CoA dehydrogenase // short-chain (3<i>S</i>)-3-hydroxy-2-methylacyl-CoA dehydrogenase // 3&alpha;(17&beta;)-hydroxysteroid dehydrogenase (NAD<small><sup>+</sup></small>)
4-hydroxy-3-(<i>all-trans</i>-polyprenyl)benzoate decarboxylative hydroxylase	ubiN	ubiN			4-hydroxy-3-(<i>all-trans</i>-polyprenyl)benzoate decarboxylative hydroxylase
homoaconitase	lysU // lysT				homoaconitate hydratase
amorpha-4,11-diene monooxygenase	CYP71AV1	CYP71AV1			dihydroartemisinic aldehyde oxidase // artemisinic aldehyde monooxygenase // artemisinic alcohol monooxygenase // amorpha-4,11-diene monooxygenase
aspoquinolone synthase	asqO	asqO			aspoquinolone B synthase // aspoquinolone A synthase
glycerophosphocholine cholinephosphodiesterase	gpc-cp	gpc-cp			glycerophosphocholine cholinephosphodiesterase
3,4-dihydroxyphenylacetate dioxygenase subunit	hpaB	hpaB			3,4-dihydroxyphenylacetate dioxygenase
acyl-CoA 5-desaturase	AL10	AL10			(11Z,14Z,17Z)-icosa-11,14,17-trienoyl-CoA 5-desaturase // (11Z,14Z)-icosa-11,14-dienoyl-CoA 5-desaturase
biotin synthase	BIO2	At2g43360	18017828	18020315	biotin synthase
(4S,5S)-4,5-dihydroxy-2,6-dioxohexanoate reductase	A1-R	A1-R			(4S,5S)-4,5-dihydroxy-2,6-dioxohexanoate reductase
uroporphyrinogen-III synthase	UROS	UROS	127477147	127511837	uroporphyrinogen-III synthase
GH11-type endo-1,4-&beta;-xylanase	xlnA	xlnA			endo-1,4-&beta;-xylanase
reducing end xylose-releasing exo-oligoxylanase	BH2105	BH2105			oligosaccharide reducing-end xylanase
6-deoxy-D-gluconate 6-sulfonate dehydratase	PpSQ1_00089	PpSQ1_00089			6-deoxy-D-gluconate 6-sulfonate dehydratase
nucleoside diphosphate kinase	YNK1	YNK1	314812	315273	GDP kinase // dCDP kinase // dUDP kinase // dTDP kinase // dADP kinase // dGDP kinase // CDP kinase // UDP kinase // nucleoside diphosphate kinase
MtmOII	mtmOII	mtmOII			(4S)-2-acetyl-3,4,8,10,11,12-hexahydroxy-1,4-dihydrotetracen-1-one monooxygenase
dTDP-3-amino-4-dehydro-2,3,6-trideoxy-&beta;-L-glucose 4-ketoreductase	dnmV	dnmV			dTDP-3-amino-4-dehydro-2,3,6-trideoxy-&beta;-L-glucose 4-ketoreductase
acetylpolyamine amidohydrolase subunit	aphA	aphA			acetylpolyamine amidohydrolase
lydicamycin non-ribosomal peptide synthase	TPA0598_03_00820	TPA0598_03_00820			lydicamycin non-ribosomal peptide synthase // lydicamycin non-ribosomal peptide synthase
borneol dehydrogenase 2	BDH2	BDH2			(-)-borneol dehydrogenase // (+)-borneol dehydrogenase
malonyl-CoA:21-hydroxypregnane-21-<i>O</i>-malonyltransferase	21MaT	21MaT			malonyl-CoA:21-hydroxypregnane-21-<i>O</i>-malonyltransferase
taurine:alpha-ketoglutarate aminotransferase					taurine:&alpha;-ketoglutarate aminotransferase
carboxypeptidase Y	PRC1	YMR297W	861922	863520	(glutathion-<i>S</i>-yl)-bimane carboxypeptidase // phytochelatin synthase // glutathione <i>S</i>-conjugate carboxypeptidase // carboxypeptidase Y (proteinase C)
phosphoglycerate kinase	PGK	PGK			phosphoglycerate kinase
pinosylvin synthase	PDSTS1	PDSTS1			pinosylvin synthase
1,4-lactonase					D-glactono-1,4-lactonase
adenine phosphoribosyltransferase	APT1	YML022W	228937	229500	adenine phosphoribosyltransferase
carbamoyl-phosphate synthetase, glutamine-hydrolyzing	carA // carB		29651	30799	carbamoyl phosphate synthetase
5-<i>epi</i>-aristolochene-1,3-dihydroxylase	CYP71D20	CYP71D20			5-<i>epi</i>-aristolochene-1,3-dihydroxylase // 3-deoxycapsidiol 3-hydroxylase // 5-<i>epi</i>-aristolochene 1-hydroxylase // 1-deoxycapsidiol 1-hydroxylase // 5-<i>epi</i>-aristolochene 3-hydroxylase
sucrose phosphate synthase	SPS	OsI_004842			sucrose phosphate synthase
benzoate-CoA ligase	AT1G65880	AT1G65880			benzoate-CoA ligase
L-lysine decarboxylase	LDC	LDC			L-lysine decarboxylase
vitamin-K-epoxide reductase	VKORC1	VKORC1	31599261	31603175	vitamin-K-epoxide reductase
sinapoyl-&beta;-D-glucose:anthocyanin sinapoyltransferase	AT2G23000	AT2G23000			cyanidin 3-<i>O</i>-[2"-<i>O</i>-(2"'-<i>O</i>-(sinapoyl) xylosyl) 6"-<i>O</i>-(p-coumaroyl) glucoside] 5-<i>O</i>-[6""-<i>O</i>-(malonyl) glucoside] sinapoyltransferase // cyanidin 3-<i>O</i>-[6-<i>O</i>-(4-<i>O</i>-&beta;-D-glucosyl-<i>p</i>-coumaroyl)-2-<i>O</i>-(2-<i>O</i>-sinapoyl-&beta;-D-xylosyl)-&beta;-D-glucosyl]-5-<i>O</i>-(6-<i>O</i>-malonyl-&beta;-D-glucoside) synthase
