Pathway	Reactions
COMPLETE-ARO-PWY	RXN-10814 // PREPHENATEDEHYDRAT-RXN // RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN // TYROSINE-AMINOTRANSFERASE-RXN // CHORISMATEMUT-RXN // PREPHENATEDEHYDROG-RXN // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-7022	RXN-13221 // RXN-13123 // RXN-13122 // RXN-13116 // RXN-13117 // RXN-13119
PWY-7020	RXN-13146 // RXN-13165 // RXN-13204 // RXN-13203 // RXN-13221 // RXN-13123 // RXN-13122 // RXN-13116 // RXN-13117 // RXN-13119 // RXN-13219 // RXN-13218 // RXN-13217 // RXN-13216 // RXN-13215 // RXN-13214 // RXN-13213
PWY-7021	RXN-13146 // RXN-13165 // RXN-13204 // RXN-13203 // RXN-13123 // RXN-13122 // RXN-13116 // RXN-13117 // RXN-13119 // RXN-13118 // RXN-13205 // RXN-13176 // RXN-13177 // RXN-13174 // RXN-13175
PWY-7024	CITRAMALYL-COA-LYASE-RXN // RXN-13230 // RXN-8965 // RXN-8960 // RXN-8961 // RXN0-5224 // BIOTIN-CARBOXYL-RXN // RXN0-5055 // RXN-9086 // RXN-9087 // RXN-6383 // MALYL-COA-LYASE-RXN // RXN-8964 // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // PROPIONYL-COA-CARBOXY-RXN // RXN-8974 // RXN-8963
PWY-6397	RXN-21427 // RXN-11094 // RXN-11092 // RXN-11091 // RXN-11093 // RXN1G-1633 // RXN-11082 // RXN-11077 // RXN-11075 // UDPGLUCEPIM-RXN // GALPMUT-RXN // RXN-11072 // RXN-11070 // RXN-6380
PWY-6396	RXN-11032 // RXN-11034 // RXN-11035 // SS-BUTANEDIOL-DEHYDROGENASE-RXN // RR-BUTANEDIOL-DEHYDROGENASE-RXN // ACETOLACTATE-DECARBOXYLASE-RXN // RXN-11036 // RXN-6081 // ACETOLACTSYN-RXN
PWY-6395	RXN-12762 // RXN-12733 // RXN-12732 // RXN-12731 // RXN-11042 // RXN-11063 // RXN-11061 // RXN-12865 // RXN-12867 // RXN-12864 // RXN-12721 // RXN-12720 // SERINE-O-ACETTRAN-RXN // RXN-12730 // RXN-12729 // RXN-12728 // RXN-12726 // RXN-11064 // RXN-11062
PWY-5845	RXN-9204 // TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN // RXN-9205 // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-5840	RXN-9191 // RXN-9190 // TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-7332	UDPGLCNACEPIM-RXN // PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN // RXN-14783 // RXN-14782 // RXN-13585 // RXN-13596 // RXN-13589 // 5.1.3.23-RXN // RXN-16259 // 1.1.1.136-RXN // UDPMANNACADEHYDROG-RXN // RXN-14769 // RXN-14767 // RXN-13252 // RXN-14764 // RXN-14763 // RXN-9998 // RXN-14761 // RXN-14760 // RXN-14759
PWY-6641	RXN-11737 // RXN-25636 // 4.4.1.25-RXN // RXN-11738 // PHOSACETYLTRANS-RXN // RXN-2364 // R231-RXN
PWY-5941	GLUCOKIN-RXN // RXN-19947 // PHOSPHOGLUCMUT-RXN // RXN-9024 // RXN-9025 // GLYCOPHOSPHORYL-RXN
PWY-5940	PHOSPHOGLUCMUT-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-11099 // RXN-11098 // 2.6.1.56-RXN // RXN-11097 // 3.1.3.40-RXN // STREPTOMYCIN-6-KINASE-RXN // 2.7.7.33-RXN // RXN-9469 // RXN-9467 // STREPTOMYCIN-6-PHOSPHATASE-RXN // RXN-9471 // RXN-9470 // 2.4.2.27-RXN // 2.1.4.2-RXN // SCYLLO-INOSAMINE-KINASE-RXN // 2.6.1.50-RXN
PWY-6486	25-DIOXOVALERATE-DEHYDROGENASE-RXN // 4.2.1.41-RXN // RXN-15902 // RXN-15901 // URONATE-DEHYDROGENASE-RXN
PWY5F9-12	RXN-13319 // 3.7.1.8-RXN // BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN // 1.3.1.56-RXN // 1.14.12.18-RXN
TCA-GLYOX-BYPASS	RXN-14971 // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN
PWY-6731	PHOSPHOGLUCMUT-RXN // RXN-12181 // RXN-12171 // CYCLOMALTODEXTRINASE-RXN
METHYLGALLATE-DEGRADATION-PWY	RXN-2464 // OXALODECARB-RXN // RXN-9983 // RXN-2463 // RXN-2462 // METHYLGALLATE-RXN
PWY-6737	PHOSPHOGLUCMUT-RXN // RXN-12193 // RXN-12171 // RXN-12190
P125-PWY	RR-BUTANEDIOL-DEHYDROGENASE-RXN // ACETOLACTATE-DECARBOXYLASE-RXN // RXN-11036 // RXN-6081 // ACETOLACTSYN-RXN
PWY-5266	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // RXN-668 // RXN-667 // RXN-666 // RXN-665 // RXN-664 // RXN-663 // RXN-662 // RXN-661
PWY-5265	RXN-22558 // RXN-20088 // RXN-11297 // RXN-11296 // RXN-11295 // RXN-11291 // RXN-11065 // 6.3.2.10-RXN // 6.3.2.7-RXN // DALADALALIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // RXN-8976 // RXN-8975
PWY-5062	DIMETHYLMALEATE-HYDRATASE-RXN // 1.1.1.291-RXN // 3.5.2.18-RXN // 23-DIMETHYLMALATE-LYASE-RXN // METHYLITACONATE-DELTA-ISOMERASE-RXN // 2-METHYLENEGLUTARATE-MUTASE-RXN // RXN-7640 // 6-HYDROXYNICOTINATE-REDUCTASE-RXN // RXN-7637 // RXN-11318 // NICOTINATE-DEHYDROGENASE-RXN // RXN-7573 // 1.13.11.9-RXN // RXN-11353 // RXN-646 // MALEATE-ISOMERASE-RXN // RXN-7586 // RXN-7585
TCA	RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN
PWY-1361	RXN-2425 // RXN-11053 // RXN-11054 // RXN-3641 // RXN0-2044 // RXN-2424 // RXN-2401
AEROBACTINSYN-PWY	RXN-13056 // RXN-13054 // 1.14.13.59-RXN // N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN
METHANOGENESIS-PWY	H2-METHYLENE-THMPT-DEHYDRO-RXN // 2.1.1.86-RXN // METHELENE-THMPT-OXI-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN
PWY-6863	RXN-12567 // RXN-11667 // RXN-12558 // HEXANOL-RXN // RXN-12568 // RXN-12559 // RXN-12570 // RXN-12565 // PYRUFLAVREDUCT-RXN // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5280	RXN-14724 // VAGL-RXN // RXN-8182 // 5-AMINOPENTANAMIDASE-RXN // LYSINE-2-MONOOXYGENASE-RXN
PWY-5283	RXN-14932 // RXN-21282 // RXN-8172 // 2-AMINOADIPATE-AMINOTRANSFERASE-RXN // RXN-8162 // L-PIPECOLATE-OXIDASE-RXN // RXN-8166 // RXN-8163 // LYSINE-RACEMASE-RXN
GALLATE-DEGRADATION-I-PWY	RXN-11861 // RXN-9983 // RXN-2463 // RXN-2464 // RXN-2462
PRPP-PWY	PRPPSYN-RXN // CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // DIHYDROOROTATE-DEHYDROGENASE-RXN // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN // RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN // DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN // RXN0-742 // RXN0-743 // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN // GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN // ATPPHOSPHORIBOSYLTRANS-RXN // HISTCYCLOHYD-RXN // HISTPRATPHYD-RXN // PRIBFAICARPISOM-RXN // GLUTAMIDOTRANS-RXN // IMIDPHOSDEHYD-RXN // HISTAMINOTRANS-RXN // HISTIDPHOS-RXN // HISTOLDEHYD-RXN // HISTALDEHYD-RXN
PWY-7287	RXN-14547 // RXN-14543 // RXN-14544 // RXN-14545 // RXN-14546
REDCITCYC	ISOCITDEH-RXN // RXNI-3 // R601-RXN // RXNI-2 // 2-OXOGLUTARATE-SYNTHASE-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN
PWY-7352	RXN-17998 // RXN-16479 // RXN-14828 // RXN-14833 // RXN-16478 // RXN-14874 // RXN-14875 // RXN-14856 // RXN-14854 // RXN-14830 // RXN-14829 // RXN-14826 // RXN-14827 // RXN-14825 // RXN-14824 // RXN-14818 // RXN-14844 // RXN-14831 // RXN-14846
PWY-7354	RXN-17998 // RXN-14875 // RXN-14874 // RXN-14688 // RXN-14689 // RXN-14851 // RXN-14852 // RXN-14853 // RXN-14854 // RXN-14818 // RXN-14844 // RXN-14831 // RXN-14846
HISDEG-PWY	FORMIMINOGLUTAMASE-RXN // IMIDAZOLONEPROPIONASE-RXN // UROCANATE-HYDRATASE-RXN // HISTIDINE-AMMONIA-LYASE-RXN
PWY-7036	RXN-13309 // RXN-13308 // RXN-13307 // RXN-13306 // RXN-13305 // RXN-13304 // RXN-13303 // RXN-13302 // RXN-13301 // RXN-13300 // RXN-13299 // RXN-13298 // RXN-13297 // RXN-13296 // RXN-13295 // RXN-13294
PWY-7031	TRANS-RXN-447 // RXN-13280 // RXN-13277 // RXN-13276 // RXN-13275 // RXN-13274 // RXN-13269
PWY0-1319	RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // GLYC3PDEHYDROGBIOSYN-RXN // CDPDIGLYSYN-RXN
P601-PWY	RXN-13045 // R547-RXN // R546-RXN // R545-RXN // R544-RXN // R543-RXN // R542-RXN // R541-RXN
PWY-5850	RXN-9217 // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // TRANS-PENTAPRENYLTRANSFERASE-RXN // RXN-9220
PWY-5855	RXN-9229 // RXN-9224 // RXN-9223 // RXN-9222 // RXN-9228 // RXN-9227 // RXN-9226 // RXN-9225
PWY-5857	RXN-9232 // RXN-9231 // RXN-9230 // RXN-9237 // RXN-9236 // RXN-9235 // RXN-9234 // RXN-9233
PWY-5856	2.5.1.39-RXN // RXN-9243 // RXN-9242 // 2.1.1.64-RXN // RXN-9238 // RXN-9241 // RXN-9240 // RXN-9239
PWY0-1261	RXN-17391 // TRANS-RXN0-226 // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // RXN0-2361 // RXN0-5227 // NAG1P-URIDYLTRANS-RXN // 2.3.1.157-RXN // 5.4.2.10-RXN // NAG6PDEACET-RXN // RXN0-5225 // RXN0-5226 // RXN0-4621 // RXN0-4641
PWY1G-0	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN // RXN-11015 // RXN-6501 // RXN1G-4 // RXN1G-121 // RXN1G-2
PWY-7616	METHANOL-DEHYDROGENASE-RXN // RXN0-3281 // FORMALDEHYDE-DEHYDROGENASE-RXN // RXN-6581 // 1.2.1.66-RXN // RXN1G-129
CATECHOL-ORTHO-CLEAVAGE-PWY	3-OXOADIPATE-ENOL-LACTONASE-RXN // MUCONOLACTONE-DELTA-ISOMERASE-RXN // MUCONATE-CYCLOISOMERASE-RXN // CATECHOL-12-DIOXYGENASE-RXN
PWY-6748	TRANS-RXN0-239 // RXN-11236 // RXN-12129 // RXN-12130 // NITRITE-REDUCTASE-CYTOCHROME-RXN
PWY-6749	RXN-12239 // RXN-12238 // RXN-12236 // RXN-12235 // RXN-12234 // RXN-12233 // RXN-12232 // RXN-12231 // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN
PWY-5273	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // RXN-668 // RXN-667 // RXN-666 // RXN-665 // RXN-664
PWY-6928	RXN-12849 // RXN-12850 // RXN-12848 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12778 // RXN-12694 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702 // RXN-19805 // RXN-19804 // RXN-19803 // RXN-19802 // RXN-19801 // RXN-19800 // RXN-19799 // RXN-19798 // RXN-19797 // RXN-19796 // RXN-12751 // RXN-12750 // RXN-12749 // RXN-12748 // RXN-12747 // RXN-12746 // RXN-12736 // RXN-12734 // RXN-12735 // RXN-12718 // 1.13.11.25-RXN // RXN-12717 // RXN-12715 // RXN-12714 // RXN-12691
LACTOSECAT-PWY	RXN-15085 // TAGAALDOL-RXN // LACTOSE-6-PHOSPHATE-ISOMERASE-RXN // LACTOSE6P-HYDROXY-RXN // TAGAKIN-RXN
ARG+POLYAMINE-SYN	ACETYLORNDEACET-RXN // ACETYLORNTRANSAM-RXN // N-ACETYLGLUTPREDUCT-RXN // ACETYLGLUTKIN-RXN // N-ACETYLTRANSFER-RXN // CARBPSYN-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN // AGMATIN-RXN // ARGDECARBOX-RXN // ARGINASE-RXN // ORNDECARBOX-RXN // SPERMIDINESYN-RXN // SAMDECARB-RXN // RXN0-5217 // LYSDECARBOX-RXN
PWY-7184	THYMIDYLATESYN-RXN // RXN-12195 // CDPREDUCT-RXN // UDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DUTP-PYROP-RXN // DUDPKIN-RXN // DCDPKIN-RXN
PROPFERM-PWY	PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // RXN-8568 // PROPIONATE-COA-TRANSFERASE-RXN // LACTOYL-COA-DEHYDRATASE-RXN // LACCOA-RXN // DLACTDEHYDROGNAD-RXN // PYRUFLAVREDUCT-RXN // ALANINE-AMINOTRANSFERASE-RXN
PWY-5103	BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // ACETOOHBUTREDUCTOISOM-RXN // ACETOOHBUTSYN-RXN // RXN-7746 // RXN-7751 // METHYLASPARTATE-MUTASE-RXN
PWY-5101	BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // RXN-16062 // ACETOOHBUTSYN-RXN // RXN-7745 // RXN-7744 // R-2-METHYLMALATE-DEHYDRATASE-RXN // RXN-7743
PWY-5100	L-LACTATE-DEHYDROGENASE-RXN // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // PYRUFLAVREDUCT-RXN
PWY-5104	PROPIONATE--COA-LIGASE-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // RXN-16062 // ACETOOHBUTSYN-RXN // 2-OXOBUTYRATE-SYNTHASE-RXN
DAPLYSINESYN-PWY	RXN-14014 // ASPARTATEKIN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // DIHYDRODIPICSYN-RXN // TETHYDPICSUCC-RXN // SUCCINYLDIAMINOPIMTRANS-RXN // SUCCDIAMINOPIMDESUCC-RXN // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN
PWY-6937	1.1.1.209-RXN // RXN-12124 // 1.1.1.51-RXN // RXN-19805 // RXN-19804 // RXN-19803 // RXN-19802 // RXN-19801 // RXN-19800 // RXN-19799 // RXN-19798 // RXN-19797 // RXN-19796 // RXN-12751 // RXN-12750 // RXN-12749 // RXN-12748 // RXN-12747 // RXN-12746 // RXN-12736 // RXN-12734 // RXN-12735 // RXN-12718 // 1.13.11.25-RXN // RXN-12717 // RXN-12715 // RXN-12714 // RXN-12691
PWY4FS-8	PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN // GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
PWY-7290	RXN-22037 // TRANS-RXN-436 // GLCNACPTRANS-RXN // RXN-14572 // RXN-14560 // RXN-14561 // RXN-14562 // RXN-14563
PWY-7295	RXN-14809 // MALSYN-RXN // GLYCOLATE-REDUCTASE-RXN // RXN-14642 // 4.1.2.18-RXN // L-ARABINONATE-DEHYDRATASE-RXN // L-ARABINONOLACTONASE-RXN // RXN-8774
PWY-7294	MALSYN-RXN // GLYCOLATE-REDUCTASE-RXN // RXN-14642 // 4.1.2.28-RXN // XYLONATE-DEHYDRATASE-RXN // RXN-12246 // RXN-14641
PWY-6174	RXN-10068 // RXN-10067 // IPPISOM-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6107	RXN-9914 // RXN-9869 // MALEYLACETATE-REDUCTASE-RXN // RXN-9892 // RXN-9870 // RXN-9912 // RXN-9913
P124-PWY	FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN // ACETATEKIN-RXN // TRANSALDOL-RXN // 1TRANSKETO-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // PHOSPHOKETOLASE-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // L-LACTATE-DEHYDROGENASE-RXN // PGLUCISOM-RXN // GLUCOKIN-RXN
CALVIN-PWY	RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // 1.2.1.13-RXN // PHOSGLYPHOS-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
PWY-5910	FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN // IPPISOM-RXN // DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN // PHOSPHOMEVALONATE-KINASE-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-5913	RXN1YI0-14 // MALATE-DEH-RXN // ISOCITDEH-RXN // PEPCARBOX-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // FUMHYDR-RXN
PWY-7347	PGLUCISOM-RXN // SUCROSE-PHOSPHATASE-RXN // SUCROSE-PHOSPHATE-SYNTHASE-RXN
PWY-6999	RXN-13113 // RXN-13114 // RXN-13115 // XANTHINE-OXIDASE-RXN // RXN0-901 // RXN-13111 // RXN-13110 // RXN-13109 // RXN-13108
PWY-5254	RXN-15949 // RXN-15947 // RXN-15945 // RXN-15944 // RXN-15946 // TYROSINE-DECARBOXYLASE-RXN // RXN-8123 // RXN-8119
PWY-5823	RXN-9160 // RXN-9188 // RXN-9161 // RXN-9158 // RXN-9159 // 1.17.1.1-RXN // 2.7.7.33-RXN // CDP-GLUCOSE-46-DEHYDRATASE-RXN
P108-PWY	MALATE-DEH-RXN // 2.1.3.1-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-268 // R601-RXN // FUMHYDR-RXN
FERMENTATION-PWY	PEPDEPHOS-RXN // FUMHYDR-RXN // PEPCARBOX-RXN // R601-RXN // CITSYN-RXN // ACONITATEDEHYDR-RXN // ACONITATEHYDR-RXN // ISOCITDEH-RXN // MALATE-DEH-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // PYRUVFORMLY-RXN // DLACTDEHYDROGNAD-RXN // FHLMULTI-RXN
PWY0-1277	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN // HCAMULTI-RXN // PHENPRODIOLDEHYDROG-RXN // MHPHYDROXY-RXN // 1.13.11.16-RXN // MHPCHYDROL-RXN
PWY-7198	RXN2OBG-12 // 3.5.4.30-RXN // RXN-12195 // CDPREDUCT-RXN // DTDPKIN-RXN // DTMPKI-RXN // DCDPKIN-RXN
PWY-7199	THYMIDYLATESYN-RXN // DEOXYCYTIDINE-KINASE-RXN // THYKI-RXN // DURIDKI-RXN // CYTIDEAM-RXN
PWY-7196	CDPKIN-RXN // RXN-11832 // CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // URACIL-PRIBOSYLTRANS-RXN // CYTIKIN-RXN // URIDINEKIN-RXN // URIDINE-NUCLEOSIDASE-RXN // CYTIDEAM2-RXN
PWY-7197	DCDPKIN-RXN // DTDPKIN-RXN // RXN-7913 // DTMPKI-RXN
PWY-7402	BENZOATE--COA-LIGASE-RXN // RXN-15013 // RXN-15012 // 4.2.1.100-RXN // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 1.3.99.15-RXN // RXN-15010 // R265-RXN // R282-RXN // ACETATE--COA-LIGASE-ADP-FORMING-RXN // RXN-11667 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN
GLYOXYLATE-BYPASS	MALATE-DEH-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN
PYRIDNUCSYN-PWY	L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PANTO-PWY	PANTOTHENATE-KIN-RXN // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // PANTOATE-BETA-ALANINE-LIG-RXN
TEICHOICACID-PWY	RXN-18013 // RXN-18014 // RXN-18028 // 6.3.2.16-RXN // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN4-RXN // TEICHOICSYN8-RXN // TEICHOICSYN5-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN
PWY-7575	RXN-15970 // RXN-15969 // GDPMANDEHYDRA-RXN // ADCLY-RXN // PABASYN-RXN // RXN0-5055 // RXN-15975 // RXN-15971 // RXN-15954 // RXN-12162 // RXN-12161
PWY-7579	RXN-17523 // RXN-15990 // RXN-15985 // 1.3.7.2-RXN // 1.3.7.3-RXN
VALDEG-PWY	RXN-11213 // 2.6.1.22-RXN // 1.2.1.25-RXN // 3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN // 3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN // METHYLACYLYLCOA-HYDROXY-RXN // MEPROPCOA-FAD-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN
PWY-7400	RXN-15004 // RXN-15007 // RXN-15006 // RXN-15005 // RXN-15003 // CARBPSYN-RXN // ORNCARBAMTRANSFER-RXN // ARGSUCCINLYA-RXN // ARGSUCCINSYN-RXN
PWY-7401	RXN-15013 // RXN-15012 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-11662 // RXN-11667 // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN // RXN-15010 // RXN-8032 // 1.1.1.259-RXN // HADTHAUERA-RXN // 4.2.1.100-RXN // R265-RXN // R282-RXN // RXN-15008 // ACETATE--COA-LIGASE-ADP-FORMING-RXN
P221-PWY	ALKANE-1-MONOOXYGENASE-RXN // RUBREDOXIN--NAD+-REDUCTASE-RXN // R223-RXN // R222-RXN // R221-RXN
HEXITOLDEGSUPER-PWY	RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // TRANS-RXN-161 // RXN-16992 // 1.1.1.251-RXN // TAGAALDOL-RXN // TAGAKIN-RXN // SORB6PDEHYDROG-RXN // MANNPDEHYDROG-RXN
P105-PWY	RXN-14971 // MALATE-DEH-RXN // ISOCITDEH-RXN // RXN-7774 // SUCCSEMIALDDEHYDROG-RXN // FUMHYDR-RXN // ACONITATEHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN
