Pathways	Taxonomic-Range	Species	Common-Name	Common-Name2
PWY1YI0-3	TAX-33090 // TAX-1117	TAX-84588	Parasynechococcus marenigrum	Viridiplantae // Cyanobacteriota
PWY-8542	TAX-2157	TAX-2285	Sulfolobus acidocaldarius	Archaea
PWY-8439	TAX-1644061 // TAX-1239	TAX-1392 // TAX-1402 // TAX-1423 // TAX-224308 // TAX-129789 // TAX-1404 // TAX-1282	Bacillus anthracis // Bacillus licheniformis // Bacillus subtilis // Natrialba aegyptia // Priestia megaterium // Staphylococcus epidermidis	Natrialbaceae // Bacillota
PWY-5971	TAX-33090 // TAX-2	TAX-3708 // TAX-511145 // TAX-3562 // ORG-5993	Brassica napus // Escherichia coli // Spinacia oleracea // Arabidopsis thaliana	Viridiplantae // Bacteria <bacteria>
PWY-7200	TAX-2759 // TAX-2 // TAX-2157	TAX-1392 // TAX-224308 // TAX-9606 // TAX-2190 // TAX-83332 // ORG-5993	Bacillus anthracis // Bacillus subtilis // Homo sapiens // Methanocaldococcus jannaschii // Mycobacterium tuberculosis // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
PWY-7606	TAX-33208 // TAX-2759	TAX-9606	Homo sapiens	Metazoa // Eukaryota
PWY-401	TAX-33090	ORG-5993	Arabidopsis thaliana	Viridiplantae
PWY-7651	TAX-2	TAX-984 // TAX-1311	Pedobacter heparinus // Streptococcus agalactiae	Bacteria <bacteria>
PWY-5074	TAX-2	TAX-32044 // ORG-5859	Pseudomonas sp. mevalonii // Actinomycete S4	Bacteria <bacteria>
PWY-7308	TAX-1224 // TAX-201174	ORG-6132 // ORG-5980	Pseudomonas chlororaphis // Rhodococcus N-774	Pseudomonadota // Actinomycetota
PWY-5896	TAX-201174 // TAX-976	TAX-1658 // TAX-28111 // TAX-817 // TAX-28116 // TAX-818 // TAX-821 // TAX-144185 // TAX-2014 // TAX-823 // TAX-28123 // TAX-28132 // TAX-28134 // TAX-59737 // TAX-33888	Actinomyces bovis // Bacteroides eggerthii // Bacteroides fragilis // Bacteroides ovatus // Bacteroides thetaiotaomicron // Phocaeicola vulgatus // Leifsonia aquatica // Nocardiopsis dassonvillei // Parabacteroides distasonis // Porphyromonas asaccharolytica // Prevotella melaninogenica // Hoylesella oralis // Rathayibacter iranicus // Rathayibacter tritici	Actinomycetota // Bacteroidota
PWY-7305	TAX-40674	TAX-9606	Homo sapiens	Mammalia
PWY-6546	TAX-33090	ORG-5993	Arabidopsis thaliana	Viridiplantae
PWY-8113	TAX-1224	TAX-412963	Mycetohabitans rhizoxinica	Pseudomonadota
P221-PWY	TAX-4751 // TAX-2	TAX-301	Ectopseudomonas oleovorans	Fungi // Bacteria <bacteria>
PWY-6910	TAX-33090 // TAX-4751 // TAX-2157 // TAX-2	TAX-4932 // TAX-224308 // TAX-511145 // TAX-2261 // ORG-5993	Saccharomyces cerevisiae // Bacillus subtilis // Escherichia coli // Pyrococcus furiosus // Arabidopsis thaliana	Viridiplantae // Fungi // Archaea // Bacteria <bacteria>
PWY-8526	TAX-2062	TAX-68187 // TAX-116188 // TAX-991132	Streptomyces cirratus // Streptomyces coeruleorubidus // Streptomyces sp. DSM 5940	Streptomycetaceae
PWY-5679	TAX-201174	TAX-1901	Streptomyces clavuligerus	Actinomycetota
PWY-5368	TAX-3398	TAX-112408	Dimorphotheca sinuata	Magnoliopsida
PWY-8216	TAX-26496	TAX-1037790 // TAX-28545	Strychnos ignatii // Strychnos nux-vomica	Strychnos
PWY-5409	TAX-33090	TAX-4682	Allium sativum	Viridiplantae
PWY-7937	TAX-5338	TAX-658473 // TAX-1069186 // TAX-71958	Mycena chlorophos // Neonothopanus gardneri // Neonothopanus nambi	Agaricales
PWY-5180	TAX-1224	TAX-292	Burkholderia cepacia	Pseudomonadota
PWY-5640	TAX-2	TAX-58226	Comamonas sp. JS765	Bacteria <bacteria>
NAD-BIOSYNTHESIS-III	TAX-2759 // TAX-2	TAX-714 // TAX-536 // TAX-1299 // TAX-2097 // TAX-272634 // TAX-747 // TAX-24 // TAX-32046 // TAX-1148 // TAX-730	Aggregatibacter actinomycetemcomitans // Chromobacterium violaceum // Deinococcus radiodurans // Mycoplasmoides genitalium // Mycoplasmoides pneumoniae // Pasteurella multocida // Shewanella putrefaciens // Synechococcus elongatus // Synechocystis sp. PCC 6803 // [Haemophilus] ducreyi	Eukaryota // Bacteria <bacteria>
PWY-7472	TAX-1224	TAX-29440 // ORG-6255	Pseudomonas sp. AK-1 // Escherichia coli	Pseudomonadota
PWY-5521	TAX-2	ORG-6027	Ketogulonicigenium vulgare	Bacteria <bacteria>
PWY-7452	TAX-4210	TAX-41568 // TAX-101596 // TAX-98709	Chrysanthemum x morifolium // Dahlia pinnata // Pericallis cruenta	Asteraceae
PWY-7335	TAX-2	TAX-511145 // TAX-1280 // ORG-6239	Escherichia coli // Staphylococcus aureus // Salmonella enterica	Bacteria <bacteria>
PWY-7304	TAX-201174	TAX-2893586 // TAX-68264 // TAX-149682	Actinoalloteichus caeruleus // Streptomyces rishiriensis // Streptomyces roseochromogenus	Actinomycetota
HOMOSERSYN-PWY	TAX-2157 // TAX-33090 // TAX-4751 // TAX-2	TAX-511145 // TAX-2190	Escherichia coli // Methanocaldococcus jannaschii	Archaea // Viridiplantae // Fungi // Bacteria <bacteria>
PWY-5033	TAX-1239	TAX-86668	Neobacillus niacini	Bacillota
PWY-8545	TAX-4751	TAX-330879	Aspergillus fumigatus	Fungi
PWY-7385	TAX-4751 // TAX-2	TAX-511145 // TAX-573 // TAX-4932	Escherichia coli // Klebsiella pneumoniae // Saccharomyces cerevisiae	Fungi // Bacteria <bacteria>
P142-PWY	TAX-2	TAX-1501 // TAX-272562 // TAX-28446 // TAX-1488	Clostridium pasteurianum // Clostridium acetobutylicum // Anaerotignum propionicum	Bacteria <bacteria>
ASPARAGINE-DEG1-PWY-1	TAX-40674	TAX-9606	Homo sapiens	Mammalia
PWY-6293	TAX-4751	TAX-4932	Saccharomyces cerevisiae	Fungi
PWY-5469	TAX-33090	TAX-4182 // TAX-300843	Sesamum indicum // Sesamum radiatum	Viridiplantae
PWY-7654	TAX-7088	TAX-82600	Cydia pomonella	Lepidoptera
PWY-8002	TAX-2	TAX-258594 // TAX-502559	Rhodopseudomonas palustris // Sphingomonas sp. SYK6	Bacteria <bacteria>
PWY-7265	TAX-3524	TAX-188838	Lampranthus sociorum	Caryophyllales
PWY-8187	TAX-200918 // TAX-201174 // TAX-1239	TAX-1511 // TAX-208226 // TAX-461876 // TAX-119072 // TAX-1496 // TAX-1509 // TAX-1747 // TAX-2424 // TAX-375929 // TAX-69499 // TAX-496866 // TAX-46541	Acetoanaerobium sticklandii // Alkaliphilus metalliredigens // Alkaliphilus oremlandii // Caldanaerobacter subterraneus // Clostridioides difficile // Clostridium sporogenes // Cutibacterium acnes // Fervidobacterium nodosum // Natranaerobius thermophilus // Petrotoga mobilis // Thermoanaerobacter pseudethanolicus // Thermosipho melanesiensis	Thermotogota // Actinomycetota // Bacillota
PWY-6902	TAX-33090 // TAX-33154 // TAX-1239 // TAX-201174 // TAX-976 // TAX-1224	TAX-4376 // TAX-150990 // TAX-615 // TAX-666 // TAX-44104 // TAX-66861 // TAX-243277 // TAX-29494	Nepenthes alata // Nepenthes rafflesiana // Serratia marcescens // Vibrio cholerae // Vibrio cholerae non-O1 // Vibrio cholerae O1 // Vibrio furnissii	Viridiplantae // Opisthokonta // Bacillota // Actinomycetota // Bacteroidota // Pseudomonadota
PWY-7586	TAX-68336	TAX-214856 // TAX-817 // TAX-290053 // TAX-376805 // TAX-226186 // TAX-821 // TAX-823 // TAX-52227 // TAX-28129 // TAX-28132	Alistipes finegoldii // Bacteroides fragilis // Bacteroides helcogenes // Phocaeicola salanitronis // Bacteroides thetaiotaomicron // Phocaeicola vulgatus // Parabacteroides distasonis // Prevotella dentalis // Prevotella denticola // Prevotella melaninogenica	Bacteroidota/Chlorobiota group
PWY-2501	TAX-3193	TAX-3659 // TAX-4097 // TAX-3888 // TAX-4113 // ORG-5993	Cucumis sativus // Nicotiana tabacum // Pisum sativum // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
PWY-7020	TAX-2	TAX-1397	Niallia circulans	Bacteria <bacteria>
PWY-7535	TAX-4751	TAX-33178	Aspergillus terreus	Fungi
PWY-7299	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-5648	TAX-2	TAX-37919 // ORG-5994 // ORG-5996	Rhodococcus opacus // Arthrobacter protophormiae // Burkholderia terrae	Bacteria <bacteria>
PWY-6569	TAX-33208	TAX-9606	Homo sapiens	Metazoa
PWY-5036	TAX-33090	TAX-3661 // ORG-5993	Cucurbita maxima // Arabidopsis thaliana	Viridiplantae
PWY18C3-22	TAX-3398	TAX-4081	Solanum lycopersicum	Magnoliopsida
PWY-1782	TAX-3193	TAX-4577 // ORG-5993	Zea mays // Arabidopsis thaliana	Embryophyta
PWY-8339	TAX-2	TAX-1763573 // TAX-1286640	Agrobacterium sp. 525a // Sinorhizobium meliloti	Bacteria <bacteria>
PWY-7196	TAX-2157 // TAX-4751 // TAX-2 // TAX-33090	TAX-511145 // TAX-4932 // ORG-5993	Escherichia coli // Saccharomyces cerevisiae // Arabidopsis thaliana	Archaea // Fungi // Bacteria <bacteria> // Viridiplantae
PWY-7927	TAX-40674	TAX-9606 // TAX-10116	Homo sapiens // Rattus norvegicus	Mammalia
PWY-8595	TAX-2	TAX-198620	Pseudomonas koreensis	Bacteria <bacteria>
PWY-5266	TAX-1224	TAX-303 // TAX-351746	Pseudomonas putida	Pseudomonadota
PWY-6270	TAX-3193	TAX-29695 // TAX-3689 // TAX-43335 // TAX-3893 // TAX-38942	Phragmites australis // Populus // Populus alba // Pueraria montana // Quercus robur	Embryophyta
PWY-5723	TAX-58024	TAX-59689 // TAX-3708 // TAX-3988 // TAX-4577 // ORG-5993 // ORG-5862	Arabidopsis lyrata // Brassica napus // Ricinus communis // Zea mays // Arabidopsis thaliana	Spermatophyta
PWY-6887	TAX-3193	TAX-4577	Zea mays	Embryophyta
FERMENTATION-PWY	TAX-4751 // TAX-2	TAX-511145	Escherichia coli	Fungi // Bacteria <bacteria>
PWY-7070	TAX-58024	TAX-55670	Stevia rebaudiana	Spermatophyta
SPHINGOLIPID-SYN-PWY	TAX-4751	TAX-4932	Saccharomyces cerevisiae	Fungi
PWY-7247	TAX-2	TAX-63363 // TAX-1423 // TAX-1488 // TAX-1299 // TAX-511145 // TAX-727 // TAX-287 // TAX-2336	Aquifex aeolicus // Bacillus subtilis // Clostridium acetobutylicum // Deinococcus radiodurans // Escherichia coli // Haemophilus influenzae // Pseudomonas aeruginosa // Thermotoga maritima	Bacteria <bacteria>
ARG-GLU-PWY	TAX-1224	TAX-358 // TAX-29459 // TAX-82115 // ORG-6005	Agrobacterium tumefaciens // Brucella melitensis // Rhizobiaceae // Sinorhizobium meliloti Rm2011	Pseudomonadota
PWY-6638	TAX-2	TAX-35833 // TAX-89187 // TAX-246200	Bilophila wadsworthia // Roseovarius nubinhibens // Ruegeria pomeroyi	Bacteria <bacteria>
PWY-83	TAX-58024	TAX-3348 // ORG-5993	Pinus strobus // Arabidopsis thaliana	Spermatophyta
PWY-6457	TAX-3193 // TAX-2	TAX-4058 // TAX-3659 // TAX-140968 // TAX-55963 // TAX-4097 // TAX-4102 // TAX-115828 // ORG-5993	Catharanthus roseus // Cucumis sativus // Hypericum androsaemum // Hypericum calycinum // Nicotiana tabacum // Petunia x hybrida // Streptomyces maritimus // Arabidopsis thaliana	Embryophyta // Bacteria <bacteria>
PWY-8476	TAX-23513 // TAX-3487 // TAX-3803 // TAX-4037	TAX-48026 // TAX-4041 // TAX-4043	Ammi majus // Pastinaca sativa // Petroselinum crispum	Rutaceae // Moraceae // Fabaceae // Apiaceae
PWY-6587	TAX-2	TAX-1488 // TAX-272562 // TAX-1501	Clostridium acetobutylicum // Clostridium pasteurianum	Bacteria <bacteria>
PWY-6795	TAX-2759 // TAX-2	TAX-3055 // TAX-2986 // TAX-1063	Chlamydomonas reinhardtii // Ochromonas danica // Cereibacter sphaeroides	Eukaryota // Bacteria <bacteria>
PWY-7044	TAX-2	TAX-722413	Bradyrhizobium sp. JS329	Bacteria <bacteria>
PWY-8204	TAX-2	TAX-55400	Salmonella enterica	Bacteria <bacteria>
DENITRIFICATION-PWY	TAX-4751 // TAX-2157 // TAX-2	TAX-5507 // TAX-2238 // TAX-266 // TAX-287 // TAX-294 // TAX-316	Fusarium oxysporum // Haloarcula marismortui // Paracoccus denitrificans // Pseudomonas aeruginosa // Pseudomonas fluorescens // Stutzerimonas stutzeri	Fungi // Archaea // Bacteria <bacteria>
PWY-8273	TAX-2	TAX-920 // TAX-7 // TAX-29448 // TAX-293 // TAX-359391 // TAX-197 // TAX-446 // TAX-173 // TAX-28104 // TAX-529 // TAX-40137 // TAX-300193 // TAX-1076	Acidithiobacillus ferrooxidans // Azorhizobium caulinodans // Bradyrhizobium elkanii // Brevundimonas diminuta // Brucella abortus // Campylobacter jejuni // Legionella pneumophila // Leptospira interrogans // Mesorhizobium huakuii // Brucella anthropi // Afipia carboxidovorans // Phyllobacterium trifolii // Rhodopseudomonas palustris	Bacteria <bacteria>
PWY-6983	TAX-68336 // TAX-1117	TAX-1097	Chlorobaculum tepidum	Bacteroidota/Chlorobiota group // Cyanobacteriota
PWY-6288	TAX-2	TAX-549 // TAX-553	Pantoea agglomerans // Pantoea ananatis	Bacteria <bacteria>
P341-PWY	TAX-2157	TAX-29292 // TAX-2261 // TAX-53953 // TAX-2262	Pyrococcus abyssi // Pyrococcus furiosus // Pyrococcus horikoshii // Pyrococcus woesei	Archaea
P661-PWY	TAX-1224 // TAX-201174	TAX-80621 // TAX-135214 // TAX-392499 // TAX-48070 // ORG-5969	Burkholderia sp. JB1 // Pseudomonas sp. CA10 // Rhizorhabdus wittichii // Terrabacter sp. DPO360 // Pseudomonas sp. HH69	Pseudomonadota // Actinomycetota
PWY-6361	TAX-4751	TAX-4932	Saccharomyces cerevisiae	Fungi
PWY-8003	TAX-2	TAX-258594 // TAX-502559	Rhodopseudomonas palustris // Sphingomonas sp. SYK6	Bacteria <bacteria>
PWY-5846	TAX-13444	TAX-45005	Colchicum autumnale	Colchicum
PWY-7663	TAX-2	TAX-1377	Aerococcus viridans	Bacteria <bacteria>
TOLUENE-DEG-DIOL-PWY	TAX-1224	TAX-351746	Pseudomonas putida	Pseudomonadota
PWY-2242	TAX-1224	TAX-511 // ORG-6014	Alcaligenes faecalis // Achromobacter sp. Quastel 52	Pseudomonadota
PWY-7752	TAX-7742	TAX-7955	Danio rerio	Vertebrata <vertebrates>
PWY-8609	TAX-4751	TAX-162425	Aspergillus nidulans	Fungi
PWY-7697	TAX-27065	TAX-4442	Camellia sinensis	Theaceae
PWY-7392	TAX-2157 // TAX-2759 // TAX-2	TAX-511145 // TAX-549 // TAX-46220	Escherichia coli // Pantoea agglomerans // Taxus brevifolia	Archaea // Eukaryota // Bacteria <bacteria>
PWY-7806	TAX-2	TAX-224308 // TAX-37927	Bacillus subtilis // Sinomonas atrocyanea	Bacteria <bacteria>
PWY-6895	TAX-2	TAX-224308	Bacillus subtilis	Bacteria <bacteria>
PWY-7520	TAX-4890 // TAX-4751	TAX-162425	Aspergillus nidulans	Ascomycota // Fungi
PWY-6456	TAX-2 // TAX-33090	TAX-29448 // TAX-4547	Bradyrhizobium elkanii // Saccharum officinarum	Bacteria <bacteria> // Viridiplantae
PWY-7717	TAX-85011	TAX-1892	Streptomyces anulatus	Kitasatosporales
PWY-7298	TAX-33090	TAX-39350	Ocimum basilicum	Viridiplantae
PWY-5874	TAX-2759	TAX-10141 // TAX-9606 // TAX-10090	Cavia porcellus // Homo sapiens // Mus musculus	Eukaryota
PWY-7821	TAX-2	TAX-1969 // TAX-1901 // TAX-1079983	Streptomyces chartreusis // Streptomyces clavuligerus // Streptomyces lysosuperificus	Bacteria <bacteria>
PWY-2942	TAX-2	TAX-1696 // TAX-1718 // TAX-1421 // TAX-44252 // TAX-585 // TAX-1459 // TAX-1474	Brevibacterium // Corynebacterium glutamicum // Lysinibacillus sphaericus // Paenibacillus macerans // Proteus vulgaris // Sporosarcina globispora // Sporosarcina pasteurii	Bacteria <bacteria>
PWY-5750	TAX-33154	TAX-36638 // TAX-33178 // TAX-9606	Aspergillus itaconicus // Aspergillus terreus // Homo sapiens	Opisthokonta
PWY-6731	TAX-2157	ORG-6178	Archaeoglobus fulgidus	Archaea
PWY-7363	TAX-33090	TAX-3469	Papaver somniferum	Viridiplantae
PWY-6667	TAX-33154	TAX-5270	Mycosarcoma maydis	Opisthokonta
PWY-7516	TAX-2	TAX-381666 // TAX-208964	Cupriavidus necator // Pseudomonas aeruginosa	Bacteria <bacteria>
PWY-8228	TAX-2	TAX-1125722	Porphyromonas gingivalis	Bacteria <bacteria>
PWY-6678	TAX-4751	TAX-36651 // ORG-6174	Penicillium digitatum	Fungi
PWY-7115	TAX-33090	TAX-37563 // TAX-117272 // TAX-28502 // TAX-4540	Urochloa panicoides // Amaranthus cruentus // Amaranthus hypochondriacus // Panicum miliaceum	Viridiplantae
PWY1G-0	TAX-201174	TAX-196627 // TAX-2013 // TAX-1988 // TAX-1873 // TAX-1883 // TAX-1763 // TAX-1817 // TAX-1765 // TAX-1769 // TAX-1772 // TAX-1773 // TAX-83332 // TAX-1810 // TAX-1827 // ORG-5917	Corynebacterium glutamicum // Nocardiopsis // Actinomadura // Micromonospora // Streptomyces // Mycobacterium // Nocardia // Mycobacterium tuberculosis variant bovis // Mycobacterium leprae // Mycolicibacterium smegmatis // Mycobacterium tuberculosis // Mycolicibacterium vaccae // Rhodococcus <high G+C Gram-positive bacteria> // Mycobacterium gastri	Actinomycetota
PWY-8562	TAX-224756 // TAX-183988 // TAX-183939 // TAX-183925	TAX-230361 // TAX-2173 // TAX-2190 // TAX-42879 // TAX-39152 // TAX-2187 // TAX-83984 // TAX-2320 // TAX-145263 // TAX-187420	Methanobrevibacter millerae // Methanobrevibacter smithii // Methanocaldococcus jannaschii // Methanococcus aeolicus // Methanococcus maripaludis // Methanococcus vannielii // Methanocorpusculum labreanum // Methanopyrus kandleri // Methanothermobacter marburgensis // Methanothermobacter thermautotrophicus	Methanomicrobia // Methanopyri // Methanococci // Methanobacteria
PWY-6151	TAX-2157 // TAX-2	TAX-668 // TAX-1423 // TAX-562 // TAX-90371	Aliivibrio fischeri // Bacillus subtilis // Escherichia coli // Salmonella enterica	Archaea // Bacteria <bacteria>
PWY-5512	TAX-28890 // TAX-33208 // TAX-4751 // TAX-2	TAX-224308 // TAX-197 // TAX-9606 // TAX-703 // TAX-287 // TAX-1308 // TAX-9823 // TAX-630	Bacillus subtilis // Campylobacter jejuni // Homo sapiens // Plesiomonas shigelloides // Pseudomonas aeruginosa // Streptococcus thermophilus // Sus scrofa // Yersinia enterocolitica	Methanobacteriota // Metazoa // Fungi // Bacteria <bacteria>
PWY-6841	TAX-3803	TAX-3847 // TAX-34305	Glycine max // Lotus japonicus	Fabaceae
PWY-8342	TAX-2157	TAX-2190 // TAX-29292 // TAX-311400	Methanocaldococcus jannaschii // Pyrococcus abyssi // Thermococcus kodakarensis	Archaea
PWY-6845	TAX-33090	TAX-3702 // TAX-4081	Arabidopsis thaliana // Solanum lycopersicum	Viridiplantae
PWY-7457	TAX-1090 // TAX-28216 // TAX-28211 // TAX-1236	TAX-1049 // TAX-1091 // TAX-13134 // TAX-89184 // TAX-649841 // TAX-36861	Allochromatium vinosum // Chlorobium // Magnetospirillum // Ruegeria pomeroyi // Sulfuricella denitrificans // Thiobacillus denitrificans	Chlorobiota // Betaproteobacteria // Alphaproteobacteria // Gammaproteobacteria
PWY-622	TAX-2763 // TAX-1117 // TAX-33090	TAX-3055 // TAX-4513 // TAX-3983 // TAX-4097 // TAX-4530 // TAX-3888 // TAX-4113 // TAX-4565 // TAX-4577 // ORG-5993	Chlamydomonas reinhardtii // Hordeum vulgare // Manihot esculenta // Nicotiana tabacum // Oryza sativa // Pisum sativum // Solanum tuberosum // Triticum aestivum // Zea mays // Arabidopsis thaliana	Rhodophyta // Cyanobacteriota // Viridiplantae
PWY-5365	TAX-23513 // TAX-3487 // TAX-3803 // TAX-4037	TAX-48026 // TAX-4041 // TAX-4043	Ammi majus // Pastinaca sativa // Petroselinum crispum	Rutaceae // Moraceae // Fabaceae // Apiaceae
PWY-7251	TAX-33090	TAX-216988 // TAX-38783 // TAX-39984 // TAX-50768 // TAX-49827 // TAX-23013 // TAX-61147 // TAX-3670 // TAX-3880 // TAX-4054 // TAX-98588 // TAX-4081 // ORG-5993	Betula platyphylla // Avena strigosa // Bruguiera gymnorhiza // Gentiana straminea // Glycyrrhiza glabra // Kalanchoe daigremontiana // Kandelia candel // Luffa aegyptiaca // Medicago truncatula // Panax ginseng // Rhizophora stylosa // Solanum lycopersicum // Arabidopsis thaliana	Viridiplantae
PWY-5028	TAX-1224	TAX-303 // TAX-294 // TAX-287	Pseudomonas putida // Pseudomonas fluorescens // Pseudomonas aeruginosa	Pseudomonadota
HEME-BIOSYNTHESIS-II-1	TAX-2	TAX-511145	Escherichia coli	Bacteria <bacteria>
PWY-8473	TAX-2	TAX-649508	Paenibacillus sp. JJ-1b	Bacteria <bacteria>
PWY-5634	TAX-4751 // TAX-2	TAX-5044 // TAX-1913 // TAX-162425 // TAX-5076 // TAX-1901	Hapsidospora chrysogena // Amycolatopsis lactamdurans // Aspergillus nidulans // Penicillium chrysogenum // Streptomyces clavuligerus	Fungi // Bacteria <bacteria>
PWY-7872	TAX-2	TAX-498761	Heliomicrobium modesticaldum	Bacteria <bacteria>
PWY-6013	TAX-4751 // TAX-33090	TAX-75102 // TAX-72610	Cantharellus formosus // Crepis alpina	Fungi // Viridiplantae
PWY-6128	TAX-131567	TAX-13468 // TAX-34256	Cupressus // Mentha x piperita	cellular organisms
PWY-1722	TAX-2759 // TAX-2157 // TAX-2	TAX-9606 // TAX-272630 // TAX-4932 // ORG-5993 // ORG-6000	Homo sapiens // Methylorubrum extorquens // Saccharomyces cerevisiae // Arabidopsis thaliana // Hyphomicrobium zavarzinii	Eukaryota // Archaea // Bacteria <bacteria>
HISHP-PWY	TAX-40674	TAX-10141 // TAX-10116 // TAX-40674 // TAX-9606	Cavia porcellus // Rattus norvegicus // Mammalia // Homo sapiens	Mammalia
P161-PWY	TAX-2	TAX-188916 // TAX-29542 // TAX-37919 // TAX-1829 // TAX-1830	Mycobacterium lacticola // Syntrophotalea acetylenica // Rhodococcus opacus // Rhodococcus rhodochrous // Rhodococcus ruber	Bacteria <bacteria>
PWY-7512	TAX-2	TAX-1796606 // TAX-657395	Cupriavidus nantongensis // Ralstonia sp. T6	Bacteria <bacteria>
PWY-7568	TAX-2	TAX-816 // TAX-435590 // TAX-328812 // TAX-1262913 // TAX-454154 // TAX-454155 // TAX-185294 // TAX-294710	Bacteroides // Phocaeicola vulgatus // Parabacteroides goldsteinii // Parabacteroides sp. CAG:409 // Paraprevotella clara // Paraprevotella xylaniphila // Segatella paludivivens // Proteiniphilum acetatigenes	Bacteria <bacteria>
PWY-3861	TAX-58023	TAX-4045 // ORG-5886	Apium graveolens // Cassia coluteoides	Tracheophyta
P185-PWY	TAX-4751	TAX-5477 // TAX-36026 // TAX-45353 // TAX-4922 // TAX-870730 // TAX-1156966	[Candida] boidinii // Ogataea minuta // [Candida] methylica // Komagataella pastoris // Ogataea angusta // Ogataea methanolica	Fungi
PWY-6806	TAX-1117 // TAX-33154 // TAX-2763 // TAX-33090	TAX-66672 // TAX-82528 // TAX-4530 // ORG-5993	Bixa orellana // Crocus sativus // Oryza sativa // Arabidopsis thaliana	Cyanobacteriota // Opisthokonta // Rhodophyta // Viridiplantae
PWY-8013	TAX-28889	TAX-43687 // TAX-2285 // TAX-43080 // TAX-2287 // TAX-111955	Metallosphaera sedula // Sulfolobus acidocaldarius // Saccharolobus islandicus // Saccharolobus solfataricus // Sulfurisphaera tokodaii	Thermoproteota
PWY-7489	TAX-4479	TAX-4530 // TAX-39947 // ORG-6035	Oryza sativa	Poaceae
PWY-7443	TAX-71274	TAX-48032 // TAX-2849020	Carum carvi // Schizonepeta tenuifolia	asterids
PWY-5133	TAX-3481	TAX-3486	Humulus lupulus	Cannabaceae
PWY-5110	TAX-3398	TAX-3847 // TAX-3888 // TAX-78534	Glycine max // Pisum sativum // Trigonella foenum-graecum	Magnoliopsida
